c1,c2,a1,a2,same,token_diff
10,152,9,9,1,20
10,153,9,9,1,849
10,154,9,9,1,36
10,155,9,9,1,282
10,156,9,9,1,66
11,157,10,10,1,16
11,158,10,10,1,30
11,159,10,10,1,69
11,160,10,10,1,70
11,161,10,10,1,231
11,162,10,10,1,254
11,163,10,10,1,110
11,164,10,10,1,705
11,165,10,10,1,41
12,166,11,11,1,103
12,167,11,11,1,171
12,168,11,11,1,35
12,169,11,11,1,36
12,170,11,11,1,310
12,171,11,11,1,10
12,172,11,11,1,23
12,173,11,11,1,118
12,174,11,11,1,1052
13,175,12,12,1,403
13,176,12,12,1,210
13,177,12,12,1,402
13,178,12,12,1,247
13,179,12,12,1,464
13,180,12,12,1,451
13,181,12,12,1,454
13,182,12,12,1,560
13,183,12,12,1,540
14,184,13,13,1,50
14,185,13,13,1,39
14,186,13,13,1,43
14,187,13,13,1,157
14,188,13,13,1,43
14,189,13,13,1,147
14,190,13,13,1,3
14,191,13,13,1,4662
14,192,13,13,1,7
15,193,14,14,1,18
15,194,14,14,1,27
15,195,14,14,1,113
15,196,14,14,1,85
15,197,14,14,1,103
15,198,14,14,1,1
15,199,14,14,1,19
15,200,14,14,1,843
15,201,14,14,1,0
16,202,15,15,1,878
16,203,15,15,1,824
16,204,15,15,1,873
16,205,15,15,1,684
16,206,15,15,1,912
16,207,15,15,1,704
16,208,15,15,1,867
16,209,15,15,1,761
16,210,15,15,1,913
17,211,16,16,1,761
17,212,16,16,1,700
17,213,16,16,1,778
17,214,16,16,1,521
17,215,16,16,1,803
17,216,16,16,1,563
17,217,16,16,1,715
17,218,16,16,1,122
17,219,16,16,1,796
18,220,17,17,1,620
18,221,17,17,1,581
18,222,17,17,1,769
18,223,17,17,1,575
18,224,17,17,1,670
18,225,17,17,1,532
18,226,17,17,1,574
18,227,17,17,1,846
18,228,17,17,1,574
19,229,18,18,1,601
19,230,18,18,1,213
19,231,18,18,1,211
19,232,18,18,1,62
19,233,18,18,1,474
19,234,18,18,1,44
19,235,18,18,1,571
19,236,18,18,1,83
19,237,18,18,1,674
20,238,19,19,1,10
20,239,19,19,1,20
20,240,19,19,1,138
20,241,19,19,1,47
20,242,19,19,1,32
20,243,19,19,1,262
20,244,19,19,1,26
20,245,19,19,1,415
20,246,19,19,1,67
21,247,20,20,1,34
21,248,20,20,1,1
21,249,20,20,1,200
21,250,20,20,1,84
21,251,20,20,1,179
21,252,20,20,1,94
21,253,20,20,1,194
21,254,20,20,1,577
21,255,20,20,1,109
22,256,21,21,1,89
22,257,21,21,1,203
22,258,21,21,1,31
22,259,21,21,1,661
22,260,21,21,1,240
22,261,21,21,1,249
22,262,21,21,1,7
22,263,21,21,1,6312
22,264,21,21,1,6
23,265,22,22,1,89
23,266,22,22,1,90
23,267,22,22,1,102
23,268,22,22,1,313
23,269,22,22,1,608
23,270,22,22,1,736
23,271,22,22,1,8
23,272,22,22,1,377
23,273,22,22,1,2345
24,274,23,23,1,108
24,275,23,23,1,81
24,276,23,23,1,34
24,277,23,23,1,115
24,278,23,23,1,164
24,279,23,23,1,128
24,280,23,23,1,86
24,281,23,23,1,175
24,282,23,23,1,711
25,283,24,24,1,1428
25,284,24,24,1,1489
25,285,24,24,1,2865
25,286,24,24,1,1287
25,287,24,24,1,1493
25,288,24,24,1,1272
25,289,24,24,1,1564
25,290,24,24,1,2511
25,291,24,24,1,1259
26,292,25,25,1,745
26,293,25,25,1,740
26,294,25,25,1,370
26,295,25,25,1,629
26,296,25,25,1,36
26,297,25,25,1,640
26,298,25,25,1,810
26,299,25,25,1,596
26,300,25,25,1,746
27,301,26,26,1,145
27,302,26,26,1,15
27,303,26,26,1,87
27,304,26,26,1,246
27,305,26,26,1,87
27,306,26,26,1,55
27,307,26,26,1,93
27,308,26,26,1,1165
27,309,26,26,1,219
28,310,27,27,1,193
28,311,27,27,1,35
28,312,27,27,1,263
28,313,27,27,1,27
28,314,27,27,1,34
28,315,27,27,1,22
28,316,27,27,1,117
28,317,27,27,1,377
28,318,27,27,1,1
29,319,28,28,1,275
29,320,28,28,1,196
29,321,28,28,1,125
29,322,28,28,1,532
29,323,28,28,1,26
29,324,28,28,1,73
29,325,28,28,1,628
29,326,28,28,1,104
29,327,28,28,1,168
30,328,29,29,1,784
30,329,29,29,1,108
30,330,29,29,1,42
30,331,29,29,1,146
30,332,29,29,1,1676
30,333,29,29,1,3405
30,334,29,29,1,55
30,335,29,29,1,1595
30,336,29,29,1,916
31,337,30,30,1,378
31,338,30,30,1,19
31,339,30,30,1,277
31,340,30,30,1,304
31,341,30,30,1,815
31,342,30,30,1,55
31,343,30,30,1,429
31,344,30,30,1,366
31,345,30,30,1,392
32,346,31,31,1,66
32,347,31,31,1,50
32,348,31,31,1,22
32,349,31,31,1,25
32,350,31,31,1,59
32,351,31,31,1,136
32,352,31,31,1,143
32,353,31,31,1,565
32,354,31,31,1,149
33,355,32,32,1,8
33,356,32,32,1,174
33,357,32,32,1,93
33,358,32,32,1,538
33,359,32,32,1,205
33,360,32,32,1,144
33,361,32,32,1,421
33,362,32,32,1,31
33,363,32,32,1,360
34,364,33,33,1,125
34,365,33,33,1,162
34,366,33,33,1,485
34,367,33,33,1,383
34,368,33,33,1,513
34,369,33,33,1,166
34,370,33,33,1,336
34,371,33,33,1,747
34,372,33,33,1,288
35,373,34,34,1,241
35,374,34,34,1,238
35,375,34,34,1,208
35,376,34,34,1,76
35,377,34,34,1,332
35,378,34,34,1,234
35,379,34,34,1,52
35,380,34,34,1,851
35,381,34,34,1,250
36,382,35,35,1,754
36,383,35,35,1,298
36,384,35,35,1,9
36,385,35,35,1,71
36,386,35,35,1,668
36,387,35,35,1,690
36,388,35,35,1,145
36,389,35,35,1,1878
36,390,35,35,1,749
37,391,36,36,1,1012
37,392,36,36,1,23
37,393,36,36,1,4
37,394,36,36,1,373
37,395,36,36,1,438
37,396,36,36,1,1880
37,397,36,36,1,391
37,398,36,36,1,2726
37,399,36,36,1,1795
38,400,37,37,1,52
38,401,37,37,1,132
38,402,37,37,1,12
38,403,37,37,1,437
38,404,37,37,1,84
38,405,37,37,1,87
38,406,37,37,1,67
38,407,37,37,1,270
38,408,37,37,1,487
39,409,38,38,1,22
39,410,38,38,1,408
39,411,38,38,1,148
39,412,38,38,1,295
39,413,38,38,1,26
39,414,38,38,1,610
39,415,38,38,1,268
39,416,38,38,1,922
39,417,38,38,1,6
40,418,39,39,1,51
40,419,39,39,1,1480
40,420,39,39,1,202
40,421,39,39,1,1550
40,422,39,39,1,366
40,423,39,39,1,99
40,424,39,39,1,1772
40,425,39,39,1,245
40,426,39,39,1,986
41,427,40,40,1,89
41,428,40,40,1,226
41,429,40,40,1,94
41,430,40,40,1,662
41,431,40,40,1,127
41,432,40,40,1,464
41,433,40,40,1,1528
41,434,40,40,1,119
41,435,40,40,1,937
42,436,41,41,1,383
42,437,41,41,1,340
42,438,41,41,1,507
42,439,41,41,1,359
42,440,41,41,1,440
42,441,41,41,1,327
42,442,41,41,1,433
42,443,41,41,1,820
42,444,41,41,1,361
43,445,42,42,1,90
43,446,42,42,1,48
43,447,42,42,1,18
43,448,42,42,1,265
43,449,42,42,1,39
43,450,42,42,1,271
43,451,42,42,1,18
43,452,42,42,1,120
43,453,42,42,1,1286
44,454,43,43,1,91
44,455,43,43,1,29
44,456,43,43,1,153
44,457,43,43,1,28
44,458,43,43,1,106
44,459,43,43,1,220
44,460,43,43,1,118
44,461,43,43,1,753
44,462,43,43,1,45
45,463,44,44,1,6
45,464,44,44,1,426
45,465,44,44,1,1028
45,466,44,44,1,339
45,467,44,44,1,6
45,468,44,44,1,25
45,469,44,44,1,347
45,470,44,44,1,336
45,471,44,44,1,419
46,472,45,45,1,1060
46,473,45,45,1,942
46,474,45,45,1,1104
46,475,45,45,1,71
46,476,45,45,1,1043
46,477,45,45,1,848
46,478,45,45,1,1034
46,479,45,45,1,910
46,480,45,45,1,1058
47,481,46,46,1,98
47,482,46,46,1,183
47,483,46,46,1,23
47,484,46,46,1,456
47,485,46,46,1,164
47,486,46,46,1,182
47,487,46,46,1,4
47,488,46,46,1,683
47,489,46,46,1,28
48,490,47,47,1,466
48,491,47,47,1,388
48,492,47,47,1,469
48,493,47,47,1,352
48,494,47,47,1,402
48,495,47,47,1,240
48,496,47,47,1,42
48,497,47,47,1,469
48,498,47,47,1,432
49,499,48,48,1,152
49,500,48,48,1,181
49,501,48,48,1,106
49,502,48,48,1,212
49,503,48,48,1,358
49,504,48,48,1,75
49,505,48,48,1,124
49,506,48,48,1,78
49,507,48,48,1,438
50,508,49,49,1,3
50,509,49,49,1,45
50,510,49,49,1,121
50,511,49,49,1,241
50,512,49,49,1,276
50,513,49,49,1,351
50,514,49,49,1,35
50,515,49,49,1,1274
50,516,49,49,1,56
51,517,50,50,1,297
51,518,50,50,1,410
51,519,50,50,1,12
51,520,50,50,1,155
51,521,50,50,1,1257
51,522,50,50,1,23440
51,523,50,50,1,586
51,524,50,50,1,904
51,525,50,50,1,288
52,526,51,51,1,137
52,527,51,51,1,269
52,528,51,51,1,721
52,529,51,51,1,25
52,530,51,51,1,210
52,531,51,51,1,157
52,532,51,51,1,70
52,533,51,51,1,909
52,534,51,51,1,59
53,535,52,52,1,315
53,536,52,52,1,290
53,537,52,52,1,239
53,538,52,52,1,49
53,539,52,52,1,266
53,540,52,52,1,219
53,541,52,52,1,142
53,542,52,52,1,236
53,543,52,52,1,332
54,544,53,53,1,332
54,545,53,53,1,427
54,546,53,53,1,454
54,547,53,53,1,151
54,548,53,53,1,427
54,549,53,53,1,403
54,550,53,53,1,249
54,551,53,53,1,316
54,552,53,53,1,477
55,553,54,54,1,503
55,554,54,54,1,532
55,555,54,54,1,618
55,556,54,54,1,357
55,557,54,54,1,617
55,558,54,54,1,283
55,559,54,54,1,557
55,560,54,54,1,544
55,561,54,54,1,552
56,562,55,55,1,47
56,563,55,55,1,28
56,564,55,55,1,23
56,565,55,55,1,99
56,566,55,55,1,42
56,567,55,55,1,214
56,568,55,55,1,94
56,569,55,55,1,147
56,570,55,55,1,796
57,571,56,56,1,259
57,572,56,56,1,249
57,573,56,56,1,329
57,574,56,56,1,283
57,575,56,56,1,324
57,576,56,56,1,268
57,577,56,56,1,129
57,578,56,56,1,633
57,579,56,56,1,291
58,580,57,57,1,75
58,581,57,57,1,150
58,582,57,57,1,99
58,583,57,57,1,323
58,584,57,57,1,307
58,585,57,57,1,153
58,586,57,57,1,35
58,587,57,57,1,143
58,588,57,57,1,1102
59,589,58,58,1,581
59,590,58,58,1,566
59,591,58,58,1,586
59,592,58,58,1,558
59,593,58,58,1,587
59,594,58,58,1,299
59,595,58,58,1,515
59,596,58,58,1,557
59,597,58,58,1,672
60,598,59,59,1,119
60,599,59,59,1,253
60,600,59,59,1,264
60,601,59,59,1,49
60,602,59,59,1,142
60,603,59,59,1,184
60,604,59,59,1,355
60,605,59,59,1,1095
60,606,59,59,1,9
61,607,60,60,1,152
61,608,60,60,1,296
61,609,60,60,1,356
61,610,60,60,1,182
61,611,60,60,1,340
61,612,60,60,1,257
61,613,60,60,1,7253
61,614,60,60,1,262
61,615,60,60,1,341
62,616,61,61,1,27
62,617,61,61,1,27
62,618,61,61,1,2
62,619,61,61,1,27
62,620,61,61,1,27
62,621,61,61,1,387
62,622,61,61,1,41
62,623,61,61,1,726
62,624,61,61,1,0
63,625,62,62,1,105
63,626,62,62,1,134
63,627,62,62,1,120
63,628,62,62,1,98
63,629,62,62,1,120
63,630,62,62,1,75
63,631,62,62,1,55
63,632,62,62,1,453
63,633,62,62,1,43
64,634,63,63,1,63
64,635,63,63,1,70
64,636,63,63,1,865
64,637,63,63,1,65
64,638,63,63,1,873
64,639,63,63,1,83
64,640,63,63,1,903
64,641,63,63,1,117
64,642,63,63,1,121
65,643,64,64,1,69
65,644,64,64,1,261
65,645,64,64,1,50
65,646,64,64,1,257
65,647,64,64,1,13
65,648,64,64,1,539
65,649,64,64,1,26
65,650,64,64,1,997
65,651,64,64,1,44
66,652,65,65,1,177
66,653,65,65,1,191
66,654,65,65,1,88
66,655,65,65,1,246
66,656,65,65,1,564
66,657,65,65,1,679
66,658,65,65,1,26
66,659,65,65,1,706
66,660,65,65,1,105
67,68,0,0,1,15
67,69,0,0,1,131
67,70,0,0,1,298
67,71,0,0,1,575
67,72,0,0,1,93
67,73,0,0,1,1
67,74,0,0,1,364
67,75,0,0,1,80
68,69,0,0,1,146
68,70,0,0,1,313
68,71,0,0,1,590
68,72,0,0,1,78
68,73,0,0,1,16
68,74,0,0,1,379
68,75,0,0,1,65
69,70,0,0,1,167
69,71,0,0,1,444
69,72,0,0,1,224
69,73,0,0,1,130
69,74,0,0,1,233
69,75,0,0,1,211
70,71,0,0,1,277
70,72,0,0,1,391
70,73,0,0,1,297
70,74,0,0,1,66
70,75,0,0,1,378
71,72,0,0,1,668
71,73,0,0,1,574
71,74,0,0,1,211
71,75,0,0,1,655
72,73,0,0,1,94
72,74,0,0,1,457
72,75,0,0,1,13
73,74,0,0,1,363
73,75,0,0,1,81
74,75,0,0,1,444
76,77,1,1,1,20
76,78,1,1,1,295
76,79,1,1,1,64
76,80,1,1,1,379
76,81,1,1,1,495
76,82,1,1,1,97
76,83,1,1,1,1333
76,84,1,1,1,51
77,78,1,1,1,315
77,79,1,1,1,44
77,80,1,1,1,399
77,81,1,1,1,515
77,82,1,1,1,117
77,83,1,1,1,1353
77,84,1,1,1,71
78,79,1,1,1,359
78,80,1,1,1,84
78,81,1,1,1,200
78,82,1,1,1,198
78,83,1,1,1,1038
78,84,1,1,1,244
79,80,1,1,1,443
79,81,1,1,1,559
79,82,1,1,1,161
79,83,1,1,1,1397
79,84,1,1,1,115
80,81,1,1,1,116
80,82,1,1,1,282
80,83,1,1,1,954
80,84,1,1,1,328
81,82,1,1,1,398
81,83,1,1,1,838
81,84,1,1,1,444
82,83,1,1,1,1236
82,84,1,1,1,46
83,84,1,1,1,1282
85,86,2,2,1,2
85,87,2,2,1,441
85,88,2,2,1,75
85,89,2,2,1,33
85,90,2,2,1,170
85,91,2,2,1,5
85,92,2,2,1,350
85,93,2,2,1,23
86,87,2,2,1,439
86,88,2,2,1,77
86,89,2,2,1,31
86,90,2,2,1,168
86,91,2,2,1,7
86,92,2,2,1,348
86,93,2,2,1,25
87,88,2,2,1,516
87,89,2,2,1,408
87,90,2,2,1,271
87,91,2,2,1,446
87,92,2,2,1,91
87,93,2,2,1,464
88,89,2,2,1,108
88,90,2,2,1,245
88,91,2,2,1,70
88,92,2,2,1,425
88,93,2,2,1,52
89,90,2,2,1,137
89,91,2,2,1,38
89,92,2,2,1,317
89,93,2,2,1,56
90,91,2,2,1,175
90,92,2,2,1,180
90,93,2,2,1,193
91,92,2,2,1,355
91,93,2,2,1,18
92,93,2,2,1,373
94,95,3,3,1,154
94,96,3,3,1,61
94,97,3,3,1,488
94,98,3,3,1,153
94,99,3,3,1,144
94,100,3,3,1,95
94,101,3,3,1,210
94,102,3,3,1,71
95,96,3,3,1,215
95,97,3,3,1,334
95,98,3,3,1,1
95,99,3,3,1,10
95,100,3,3,1,249
95,101,3,3,1,56
95,102,3,3,1,225
96,97,3,3,1,549
96,98,3,3,1,214
96,99,3,3,1,205
96,100,3,3,1,34
96,101,3,3,1,271
96,102,3,3,1,10
97,98,3,3,1,335
97,99,3,3,1,344
97,100,3,3,1,583
97,101,3,3,1,278
97,102,3,3,1,559
98,99,3,3,1,9
98,100,3,3,1,248
98,101,3,3,1,57
98,102,3,3,1,224
99,100,3,3,1,239
99,101,3,3,1,66
99,102,3,3,1,215
100,101,3,3,1,305
100,102,3,3,1,24
101,102,3,3,1,281
103,104,4,4,1,7
103,105,4,4,1,847
103,106,4,4,1,111
103,107,4,4,1,198
103,108,4,4,1,179
103,109,4,4,1,885
103,110,4,4,1,773
103,111,4,4,1,60
104,105,4,4,1,854
104,106,4,4,1,118
104,107,4,4,1,205
104,108,4,4,1,186
104,109,4,4,1,892
104,110,4,4,1,780
104,111,4,4,1,53
105,106,4,4,1,736
105,107,4,4,1,649
105,108,4,4,1,668
105,109,4,4,1,38
105,110,4,4,1,74
105,111,4,4,1,907
106,107,4,4,1,87
106,108,4,4,1,68
106,109,4,4,1,774
106,110,4,4,1,662
106,111,4,4,1,171
107,108,4,4,1,19
107,109,4,4,1,687
107,110,4,4,1,575
107,111,4,4,1,258
108,109,4,4,1,706
108,110,4,4,1,594
108,111,4,4,1,239
109,110,4,4,1,112
109,111,4,4,1,945
110,111,4,4,1,833
112,113,5,5,1,503
112,114,5,5,1,51
112,115,5,5,1,318
112,116,5,5,1,87
112,117,5,5,1,244
112,118,5,5,1,77
112,119,5,5,1,1048
112,120,5,5,1,95
113,114,5,5,1,554
113,115,5,5,1,185
113,116,5,5,1,590
113,117,5,5,1,259
113,118,5,5,1,580
113,119,5,5,1,545
113,120,5,5,1,598
114,115,5,5,1,369
114,116,5,5,1,36
114,117,5,5,1,295
114,118,5,5,1,26
114,119,5,5,1,1099
114,120,5,5,1,44
115,116,5,5,1,405
115,117,5,5,1,74
115,118,5,5,1,395
115,119,5,5,1,730
115,120,5,5,1,413
116,117,5,5,1,331
116,118,5,5,1,10
116,119,5,5,1,1135
116,120,5,5,1,8
117,118,5,5,1,321
117,119,5,5,1,804
117,120,5,5,1,339
118,119,5,5,1,1125
118,120,5,5,1,18
119,120,5,5,1,1143
121,122,6,6,1,47
121,123,6,6,1,574
121,124,6,6,1,235
121,125,6,6,1,163
121,126,6,6,1,44
121,127,6,6,1,285
121,128,6,6,1,336
121,129,6,6,1,144
122,123,6,6,1,621
122,124,6,6,1,282
122,125,6,6,1,210
122,126,6,6,1,91
122,127,6,6,1,238
122,128,6,6,1,383
122,129,6,6,1,97
123,124,6,6,1,339
123,125,6,6,1,411
123,126,6,6,1,530
123,127,6,6,1,859
123,128,6,6,1,238
123,129,6,6,1,718
124,125,6,6,1,72
124,126,6,6,1,191
124,127,6,6,1,520
124,128,6,6,1,101
124,129,6,6,1,379
125,126,6,6,1,119
125,127,6,6,1,448
125,128,6,6,1,173
125,129,6,6,1,307
126,127,6,6,1,329
126,128,6,6,1,292
126,129,6,6,1,188
127,128,6,6,1,621
127,129,6,6,1,141
128,129,6,6,1,480
130,131,7,7,1,229
130,132,7,7,1,43
130,133,7,7,1,314
130,134,7,7,1,198
130,135,7,7,1,45
130,136,7,7,1,75
130,137,7,7,1,842
130,138,7,7,1,65
131,132,7,7,1,272
131,133,7,7,1,85
131,134,7,7,1,31
131,135,7,7,1,274
131,136,7,7,1,154
131,137,7,7,1,613
131,138,7,7,1,294
132,133,7,7,1,357
132,134,7,7,1,241
132,135,7,7,1,2
132,136,7,7,1,118
132,137,7,7,1,885
132,138,7,7,1,22
133,134,7,7,1,116
133,135,7,7,1,359
133,136,7,7,1,239
133,137,7,7,1,528
133,138,7,7,1,379
134,135,7,7,1,243
134,136,7,7,1,123
134,137,7,7,1,644
134,138,7,7,1,263
135,136,7,7,1,120
135,137,7,7,1,887
135,138,7,7,1,20
136,137,7,7,1,767
136,138,7,7,1,140
137,138,7,7,1,907
139,140,8,8,1,2
139,141,8,8,1,101
139,142,8,8,1,45
139,143,8,8,1,140
139,144,8,8,1,43
139,145,8,8,1,102
139,146,8,8,1,440
139,147,8,8,1,79
140,141,8,8,1,103
140,142,8,8,1,43
140,143,8,8,1,142
140,144,8,8,1,45
140,145,8,8,1,104
140,146,8,8,1,442
140,147,8,8,1,77
141,142,8,8,1,146
141,143,8,8,1,39
141,144,8,8,1,58
141,145,8,8,1,1
141,146,8,8,1,339
141,147,8,8,1,180
142,143,8,8,1,185
142,144,8,8,1,88
142,145,8,8,1,147
142,146,8,8,1,485
142,147,8,8,1,34
143,144,8,8,1,97
143,145,8,8,1,38
143,146,8,8,1,300
143,147,8,8,1,219
144,145,8,8,1,59
144,146,8,8,1,397
144,147,8,8,1,122
145,146,8,8,1,338
145,147,8,8,1,181
146,147,8,8,1,519
148,149,9,9,1,44
148,150,9,9,1,3
148,151,9,9,1,22
148,152,9,9,1,23
148,153,9,9,1,852
148,154,9,9,1,39
148,155,9,9,1,285
148,156,9,9,1,63
149,150,9,9,1,47
149,151,9,9,1,66
149,152,9,9,1,21
149,153,9,9,1,808
149,154,9,9,1,5
149,155,9,9,1,241
149,156,9,9,1,107
150,151,9,9,1,19
150,152,9,9,1,26
150,153,9,9,1,855
150,154,9,9,1,42
150,155,9,9,1,288
150,156,9,9,1,60
151,152,9,9,1,45
151,153,9,9,1,874
151,154,9,9,1,61
151,155,9,9,1,307
151,156,9,9,1,41
152,153,9,9,1,829
152,154,9,9,1,16
152,155,9,9,1,262
152,156,9,9,1,86
153,154,9,9,1,813
153,155,9,9,1,567
153,156,9,9,1,915
154,155,9,9,1,246
154,156,9,9,1,102
155,156,9,9,1,348
157,158,10,10,1,14
157,159,10,10,1,53
157,160,10,10,1,54
157,161,10,10,1,215
157,162,10,10,1,238
157,163,10,10,1,94
157,164,10,10,1,689
157,165,10,10,1,57
158,159,10,10,1,39
158,160,10,10,1,40
158,161,10,10,1,201
158,162,10,10,1,224
158,163,10,10,1,80
158,164,10,10,1,675
158,165,10,10,1,71
159,160,10,10,1,1
159,161,10,10,1,162
159,162,10,10,1,185
159,163,10,10,1,41
159,164,10,10,1,636
159,165,10,10,1,110
160,161,10,10,1,161
160,162,10,10,1,184
160,163,10,10,1,40
160,164,10,10,1,635
160,165,10,10,1,111
161,162,10,10,1,23
161,163,10,10,1,121
161,164,10,10,1,474
161,165,10,10,1,272
162,163,10,10,1,144
162,164,10,10,1,451
162,165,10,10,1,295
163,164,10,10,1,595
163,165,10,10,1,151
164,165,10,10,1,746
166,167,11,11,1,68
166,168,11,11,1,68
166,169,11,11,1,67
166,170,11,11,1,413
166,171,11,11,1,93
166,172,11,11,1,80
166,173,11,11,1,15
166,174,11,11,1,1155
167,168,11,11,1,136
167,169,11,11,1,135
167,170,11,11,1,481
167,171,11,11,1,161
167,172,11,11,1,148
167,173,11,11,1,53
167,174,11,11,1,1223
168,169,11,11,1,1
168,170,11,11,1,345
168,171,11,11,1,25
168,172,11,11,1,12
168,173,11,11,1,83
168,174,11,11,1,1087
169,170,11,11,1,346
169,171,11,11,1,26
169,172,11,11,1,13
169,173,11,11,1,82
169,174,11,11,1,1088
170,171,11,11,1,320
170,172,11,11,1,333
170,173,11,11,1,428
170,174,11,11,1,742
171,172,11,11,1,13
171,173,11,11,1,108
171,174,11,11,1,1062
172,173,11,11,1,95
172,174,11,11,1,1075
173,174,11,11,1,1170
175,176,12,12,1,193
175,177,12,12,1,1
175,178,12,12,1,156
175,179,12,12,1,61
175,180,12,12,1,48
175,181,12,12,1,51
175,182,12,12,1,157
175,183,12,12,1,137
176,177,12,12,1,192
176,178,12,12,1,37
176,179,12,12,1,254
176,180,12,12,1,241
176,181,12,12,1,244
176,182,12,12,1,350
176,183,12,12,1,330
177,178,12,12,1,155
177,179,12,12,1,62
177,180,12,12,1,49
177,181,12,12,1,52
177,182,12,12,1,158
177,183,12,12,1,138
178,179,12,12,1,217
178,180,12,12,1,204
178,181,12,12,1,207
178,182,12,12,1,313
178,183,12,12,1,293
179,180,12,12,1,13
179,181,12,12,1,10
179,182,12,12,1,96
179,183,12,12,1,76
180,181,12,12,1,3
180,182,12,12,1,109
180,183,12,12,1,89
181,182,12,12,1,106
181,183,12,12,1,86
182,183,12,12,1,20
184,185,13,13,1,11
184,186,13,13,1,93
184,187,13,13,1,207
184,188,13,13,1,93
184,189,13,13,1,197
184,190,13,13,1,53
184,191,13,13,1,4712
184,192,13,13,1,43
185,186,13,13,1,82
185,187,13,13,1,196
185,188,13,13,1,82
185,189,13,13,1,186
185,190,13,13,1,42
185,191,13,13,1,4701
185,192,13,13,1,32
186,187,13,13,1,114
186,188,13,13,1,0
186,189,13,13,1,104
186,190,13,13,1,40
186,191,13,13,1,4619
186,192,13,13,1,50
187,188,13,13,1,114
187,189,13,13,1,10
187,190,13,13,1,154
187,191,13,13,1,4505
187,192,13,13,1,164
188,189,13,13,1,104
188,190,13,13,1,40
188,191,13,13,1,4619
188,192,13,13,1,50
189,190,13,13,1,144
189,191,13,13,1,4515
189,192,13,13,1,154
190,191,13,13,1,4659
190,192,13,13,1,10
191,192,13,13,1,4669
193,194,14,14,1,9
193,195,14,14,1,95
193,196,14,14,1,67
193,197,14,14,1,85
193,198,14,14,1,19
193,199,14,14,1,1
193,200,14,14,1,825
193,201,14,14,1,18
194,195,14,14,1,86
194,196,14,14,1,58
194,197,14,14,1,76
194,198,14,14,1,28
194,199,14,14,1,8
194,200,14,14,1,816
194,201,14,14,1,27
195,196,14,14,1,28
195,197,14,14,1,10
195,198,14,14,1,114
195,199,14,14,1,94
195,200,14,14,1,730
195,201,14,14,1,113
196,197,14,14,1,18
196,198,14,14,1,86
196,199,14,14,1,66
196,200,14,14,1,758
196,201,14,14,1,85
197,198,14,14,1,104
197,199,14,14,1,84
197,200,14,14,1,740
197,201,14,14,1,103
198,199,14,14,1,20
198,200,14,14,1,844
198,201,14,14,1,1
199,200,14,14,1,824
199,201,14,14,1,19
200,201,14,14,1,843
202,203,15,15,1,54
202,204,15,15,1,5
202,205,15,15,1,194
202,206,15,15,1,34
202,207,15,15,1,174
202,208,15,15,1,11
202,209,15,15,1,117
202,210,15,15,1,35
203,204,15,15,1,49
203,205,15,15,1,140
203,206,15,15,1,88
203,207,15,15,1,120
203,208,15,15,1,43
203,209,15,15,1,63
203,210,15,15,1,89
204,205,15,15,1,189
204,206,15,15,1,39
204,207,15,15,1,169
204,208,15,15,1,6
204,209,15,15,1,112
204,210,15,15,1,40
205,206,15,15,1,228
205,207,15,15,1,20
205,208,15,15,1,183
